Station,Date,Time,Grade,Celsius,pH,DO,CODMn,NH,TP,TN,EC,TU,Chla,AD
Lanshanzui,2022/11/9 4:00,312.17 ,4,15.68,8.231,9.359,3.42,0.025,0.0626,0.507,427.011,46.83,0.0169,5775970
Tuoshan,2022/11/9 4:00,312.17 ,4,17.53,8.423,10.911,4.506,0.025,0.0616,0.564,383.304,40.604,0.02057,17194590
Xuhuxin,2022/11/9 4:00,312.17 ,2,17.53,7.985,10.428,2.232,0.025,0.0116,0.276,374.541,4.31,0.00081,5511930
Xidong,2022/11/9 4:00,312.17 ,3,19.15,8.68,9.814,1.66,0.025,0.0412,1.141,403.98,42.95,0.02621,3833980
Wuguishan,2022/11/9 8:00,312.33 ,2,16.63,8.241,9.404,2.521,0.025,0.0225,0.592,351.676,18.147,0.00294,11468300
Lanshanzui,2022/11/9 8:00,312.33 ,4,15.68,8.244,9.304,3.48,0.025,0.0691,0.489,427.279,47.59,0.01673,5749649
Tuoshan,2022/11/9 8:00,312.33 ,4,17.54,8.414,10.895,4.497,0.025,0.0598,0.501,381.744,42.572,0.01846,17402410
Xuhuxin,2022/11/9 8:00,312.33 ,2,17.43,7.894,9.932,2.292,0.025,0.0106,0.251,375.503,4.603,0.00077,4477630
Xidong,2022/11/9 8:00,312.33 ,3,18.9,8.71,9.964,1.851,0.025,0.0415,1.073,400.6,45.1,0.02811,4277230
Wuguishan,2022/11/9 12:00,312.50 ,2,17.05,8.254,9.57,2.21,0.025,0.0223,0.551,357.08,269.684,0.00305,8233440
Lanshanzui,2022/11/9 12:00,312.50 ,4,16.17,8.227,9.491,3.416,0.025,0.059,0.513,430.2,37.71,0.02121,5825378
Tuoshan,2022/11/9 12:00,312.50 ,4,18,8.506,11.948,4.56,0.025,0.0593,0.528,380.192,38.501,0.01942,17850480
Xuhuxin,2022/11/9 12:00,312.50 ,2,18.04,7.965,10.514,2.411,0.025,0.0121,0.314,374.306,8.767,0.00083,5634390
Xidong,2022/11/9 12:00,312.50 ,3,20.01,8.88,10.819,1.98,0.025,0.0444,1.1,397.1,46.08,0.03289,4774910
Wuguishan,2022/11/9 16:00,312.67 ,2,17.2,8.279,9.655,2.117,0.025,0.0248,0.408,353.041,22.786,0.00397,11485500
Lanshanzui,2022/11/9 16:00,312.67 ,4,16.58,8.257,9.933,3.324,0.025,0.0573,0.527,426.577,35.32,0.02761,6538362
Tuoshan,2022/11/9 16:00,312.67 ,4,18.71,8.673,13.598,4.852,0.025,0.0611,0.541,379.82,33.867,0.0212,18625780
Xuhuxin,2022/11/9 16:00,312.67 ,2,18.45,8.013,10.694,2.488,0.025,0.0121,0.309,373.912,8.969,0.00085,5139140
Xidong,2022/11/9 16:00,312.67 ,3,19.91,8.77,10.234,1.7,0.0254,0.0436,1.18,400.46,46.05,0.02071,3291540
Wuguishan,2022/11/9 20:00,312.83 ,2,17.2,8.215,9.429,1.832,0.025,0.0206,0.383,351.082,17.13,0.004,7919770
Wulihuxin,2022/11/9 20:00,312.83 ,3,15.65,7.894,8.537,4.438,0.0569,0.0493,0.977,400.386,28.81,0.01103,5372940
Lanshanzui,2022/11/9 20:00,312.83 ,4,16.48,8.28,9.205,3.205,0.025,0.0515,0.593,429.296,27.85,0.01994,3556770
Tuoshan,2022/11/9 20:00,312.83 ,4,18.23,8.624,13.217,4.571,0.025,0.0589,0.493,380.264,34.624,0.02276,17489890
Xuhuxin,2022/11/9 20:00,312.83 ,2,18.6,7.769,8.831,2.475,0.025,0.0123,0.316,374.666,3.773,0.0005,3411700
Xidong,2022/11/9 20:00,312.83 ,3,19.94,8.65,9.945,1.594,0.025,0.048,1.231,402.82,41.33,0.02006,2530250
Wuguishan,2022/11/10 0:00,313.00 ,2,17.15,8.248,9.482,1.832,0.025,0.02,0.433,354.254,26.448,0.00322,7315370
Wulihuxin,2022/11/10 0:00,313.00 ,4,15.91,7.905,8.351,4.438,0.0745,0.0518,0.93,402.163,25.921,0.01106,6983140
Lanshanzui,2022/11/10 0:00,313.00 ,3,16.48,8.295,8.728,3.205,0.025,0.0479,0.565,426.895,30.4,0.01911,3638915
Tuoshan,2022/11/10 0:00,313.00 ,4,18.12,8.492,11.291,4.571,0.025,0.0571,0.5,381.111,39.188,0.02814,17394520
Xuhuxin,2022/11/10 0:00,313.00 ,2,18.47,7.843,9.462,2.475,0.025,0.0123,0.302,373.792,3.831,0.00053,4165440
Xidong,2022/11/10 0:00,313.00 ,4,20.11,8.47,9.121,1.571,0.025,0.0555,1.284,403.28,39.65,0.01644,2410320
Wuguishan,2022/11/10 4:00,313.17 ,2,17.25,8.203,9.257,2.069,0.025,0.0211,0.468,352.512,13.712,0.00305,7208610
Wulihuxin,2022/11/10 4:00,313.17 ,4,15.73,7.783,7.846,4.459,0.0696,0.053,0.914,401.772,31.352,0.01116,5462330
Lanshanzui,2022/11/10 4:00,313.17 ,3,16.44,8.292,8.13,3.198,0.025,0.0471,0.518,427.437,26.66,0.01944,5652791
Tuoshan,2022/11/10 4:00,313.17 ,4,18.03,8.426,10.867,4.335,0.025,0.0611,0.491,379.911,39.93,0.02433,17199740
Xuhuxin,2022/11/10 4:00,313.17 ,2,18.35,7.582,8.561,2.379,0.025,0.0119,0.305,374.973,3.828,0.00055,3988500
Xidong,2022/11/10 4:00,313.17 ,4,19.94,8.39,8.767,1.554,0.025,0.056,1.331,402.66,42.86,0.01527,2547110
Wuguishan,2022/11/10 8:00,313.33 ,2,17.34,8.23,9.214,2.001,0.025,0.0214,0.434,351.472,15.014,0.00476,31760600
Wulihuxin,2022/11/10 8:00,313.33 ,4,15.75,7.702,7.476,4.61,0.0683,0.059,1.069,401.65,35.704,0.01195,5240130
Lanshanzui,2022/11/10 8:00,313.33 ,3,16.58,8.31,8.295,3.313,0.025,0.047,0.478,428.836,24.13,0.01988,3737180
Tuoshan,2022/11/10 8:00,313.33 ,4,17.9,8.388,10.617,4.228,0.025,0.0557,0.486,380.251,36.458,0.01951,17155970
Xuhuxin,2022/11/10 8:00,313.33 ,2,18.27,7.346,7.777,2.28,0.025,0.0117,0.249,375.685,3.297,0.00053,4387460
Xidong,2022/11/10 8:00,313.33 ,4,19.95,8.22,8.026,1.66,0.0428,0.065,1.448,403.27,51.66,0.01126,2281780
Wuguishan,2022/11/10 12:00,313.50 ,2,17.62,8.284,9.446,1.97,0.025,0.0212,0.432,349.343,14.322,0.00342,7412110
Wulihuxin,2022/11/10 12:00,313.50 ,4,16.09,7.995,8.712,4.291,0.0657,0.0539,0.954,399.637,26.537,0.01244,6527280
Lanshanzui,2022/11/10 12:00,313.50 ,4,17.31,8.315,10.329,3.266,0.025,0.0536,0.534,426.956,27.16,0.03214,4696451
Tuoshan,2022/11/10 12:00,313.50 ,4,19.02,8.586,12.55,4.35,0.025,0.0576,0.513,378.529,34.079,0.01418,18297650
Xuhuxin,2022/11/10 12:00,313.50 ,2,19.2,7.118,7.325,2.227,0.025,0.0121,0.319,376.195,2.937,0.00049,3908600
Xidong,2022/11/10 12:00,313.50 ,4,20.2,8.27,8.314,1.7,0.0326,0.0583,1.392,402.73,43.79,0.0135,2299690
Wuguishan,2022/11/10 16:00,313.67 ,2,19.45,8.323,9.493,1.978,0.025,0.0212,0.369,350.43,541.931,0.00435,6402580
Wulihuxin,2022/11/10 16:00,313.67 ,3,17.24,8.135,9.619,4.565,0.0571,0.0486,0.932,400.32,26.769,0.00815,5530060
Lanshanzui,2022/11/10 16:00,313.67 ,3,17.53,8.35,10.27,3.144,0.025,0.0486,0.518,426.581,27.6,0.02414,4785506
Tuoshan,2022/11/10 16:00,313.67 ,4,20.17,8.736,14.431,4.547,0.025,0.0593,0.561,396.578,31.59,0.02418,18047590
Xuhuxin,2022/11/10 16:00,313.67 ,2,19.52,7.473,8.697,2.418,0.025,0.0133,0.277,375.986,3.093,0.00048,3869620
Xidong,2022/11/10 16:00,313.67 ,4,20.84,8.55,9.266,1.7,0.0415,0.0538,1.267,399,44.85,0.00843,1538630
Wuguishan,2022/11/10 20:00,313.83 ,2,18.09,8.282,9.501,1.997,0.025,0.0249,0.416,353.851,19.815,0.00356,9218460
Wulihuxin,2022/11/10 20:00,313.83 ,4,15.51,7.729,7.911,4.321,0.0654,0.0517,0.99,399.592,32.026,0.00622,4783870
Lanshanzui,2022/11/10 20:00,313.83 ,3,17.43,8.294,10.719,3.16,0.025,0.0489,0.523,426.482,29.09,0.02275,4765543
Tuoshan,2022/11/10 20:00,313.83 ,4,18.45,8.55,12.786,4.232,0.025,0.0568,0.498,391.416,33.903,0.01983,17623280
Xuhuxin,2022/11/10 20:00,313.83 ,2,19.46,7.992,10.701,2.506,0.025,0.0127,0.235,375.246,4.971,0.00092,4860150
Xidong,2022/11/10 20:00,313.83 ,4,21.02,8.54,9.146,1.555,0.025,0.0552,1.286,395.25,40.23,0.01304,2276310
Wuguishan,2022/11/11 0:00,314.00 ,2,17.89,8.328,9.457,1.997,0.025,0.0233,0.404,348.377,24.454,0.00366,12949800
Wulihuxin,2022/11/11 0:00,314.00 ,4,15.18,7.621,7.39,4.321,0.0721,0.0564,0.944,400.67,33.085,0.00553,4940920
Lanshanzui,2022/11/11 0:00,314.00 ,3,17.16,8.279,9.933,3.16,0.025,0.0483,0.529,426.401,25.59,0.02121,4093072
Tuoshan,2022/11/11 0:00,314.00 ,4,18.37,8.485,11.957,4.232,0.025,0.0604,0.521,391.121,36.504,0.02125,17008890
Xuhuxin,2022/11/11 0:00,314.00 ,2,19.15,8.019,10.593,2.506,0.025,0.0133,0.256,374.774,5.643,0.00097,6850860
Xidong,2022/11/11 0:00,314.00 ,4,20.71,8.46,8.798,1.647,0.025,0.0553,1.313,396.26,44.59,0.01783,2840060
Wuguishan,2022/11/11 4:00,314.17 ,2,17.72,8.298,9.312,2.034,0.025,0.022,0.388,348.909,13.264,0.00411,7071000
Wulihuxin,2022/11/11 4:00,314.17 ,4,15.46,7.655,7.597,4.271,0.0685,0.0536,0.953,400.365,30.947,0.00618,4591980
Lanshanzui,2022/11/11 4:00,314.17 ,3,16.98,8.259,8.81,3.271,0.025,0.0466,0.563,428.65,24.13,0.02082,4608866
Tuoshan,2022/11/11 4:00,314.17 ,4,18.56,8.447,11.349,4.037,0.025,0.0579,0.519,390.389,36.027,0.01862,16532300
Xuhuxin,2022/11/11 4:00,314.17 ,2,19.23,8.01,10.046,2.514,0.025,0.0121,0.287,374.732,3.817,0.00062,4198930
Xidong,2022/11/11 4:00,314.17 ,4,20.6,8.32,8.263,1.608,0.025,0.0606,1.39,394.8,50.61,0.01023,2114680
Wuguishan,2022/11/11 8:00,314.33 ,2,17.84,8.224,9.196,2.397,0.025,0.0214,0.379,349.597,15.258,0.00332,9705320
Wulihuxin,2022/11/11 8:00,314.33 ,4,15.78,7.701,7.858,4.36,0.0566,0.0518,0.942,400.174,31.044,0.00672,5234360
Lanshanzui,2022/11/11 8:00,314.33 ,4,16.95,8.224,8.24,3.436,0.025,0.0527,0.686,432.467,26.95,0.01939,4283292
Tuoshan,2022/11/11 8:00,314.33 ,4,18.59,8.395,10.788,3.97,0.025,0.0536,0.511,390.904,37.599,0.01651,17448670
Xuhuxin,2022/11/11 8:00,314.33 ,2,19.23,7.892,9.864,2.529,0.025,0.011,0.288,375.169,4.495,0.00092,5967830
Xidong,2022/11/11 8:00,314.33 ,4,20.56,8.29,8.182,1.594,0.025,0.0612,1.417,393.82,52.42,0.00514,1871670
Wuguishan,2022/11/11 12:00,314.50 ,2,18.22,8.279,9.362,2.745,0.025,0.0225,0.459,350.879,17.496,0.00349,14247400
Wulihuxin,2022/11/11 12:00,314.50 ,4,16.23,7.781,8.314,4.408,0.058,0.0513,1.006,400.469,29.58,0.00619,5785590
Lanshanzui,2022/11/11 12:00,314.50 ,4,17.95,8.243,9.262,3.727,0.025,0.0594,0.688,437.947,25.52,0.029,7137806
Tuoshan,2022/11/11 12:00,314.50 ,4,18.89,8.346,10.67,3.852,0.025,0.0605,0.514,392.665,41.435,0.01474,16719160
Xuhuxin,2022/11/11 12:00,314.50 ,2,19.6,7.921,10.186,2.453,0.025,0.0114,0.292,375.211,6.947,0.00106,7316230
Xidong,2022/11/11 12:00,314.50 ,4,20.95,8.33,8.424,1.596,0.025,0.0655,1.391,391.21,49.52,0.00669,860210
Wuguishan,2022/11/11 16:00,314.67 ,2,18.6,8.321,9.495,2.398,0.025,0.0225,0.496,351.243,33.243,0.02334,9423790
Wulihuxin,2022/11/11 16:00,314.67 ,4,16.6,7.83,8.542,4.334,0.0575,0.0541,0.933,400.451,29.503,0.00637,5686970
Lanshanzui,2022/11/11 16:00,314.67 ,4,17.65,8.23,9.553,3.798,0.025,0.0743,0.875,451.416,23.72,0.02889,7574716
Tuoshan,2022/11/11 16:00,314.67 ,3,19.78,8.271,10.702,3.627,0.025,0.0482,0.578,400.451,34.617,0.01003,16050010
Xuhuxin,2022/11/11 16:00,314.67 ,2,20.18,7.98,10.461,2.481,0.025,0.0128,0.196,376.487,6.966,0.00118,7700510
Xidong,2022/11/11 16:00,314.67 ,4,21.46,8.34,8.362,1.614,0.025,0.0698,1.483,398.27,52.8,0.00902,1616460
Wuguishan,2022/11/11 20:00,314.83 ,2,18.5,8.358,9.466,2.386,0.025,0.0219,0.479,349.47,15.909,0.00376,9933140
Wulihuxin,2022/11/11 20:00,314.83 ,4,16.68,7.799,8.34,4.273,0.064,0.0516,0.995,401.213,32.084,0.00952,5658040
Lanshanzui,2022/11/11 20:00,314.83 ,4,17.65,8.243,9.387,3.552,0.0259,0.0629,1.002,457.881,25.93,0.038,5934018
Tuoshan,2022/11/11 20:00,314.83 ,3,19.52,8.186,9.759,3.157,0.025,0.0466,0.543,403.826,36.686,0.00937,14542380
Xuhuxin,2022/11/11 20:00,314.83 ,2,20.1,7.941,10.117,2.525,0.025,0.012,0.228,376.786,6.902,0.00122,6895160
Xidong,2022/11/11 20:00,314.83 ,4,21.3,8.38,8.512,1.601,0.025,0.0632,1.388,394.01,45.94,0.01302,1914870
Wuguishan,2022/11/12 0:00,315.00 ,2,18.52,8.254,9.202,2.386,0.025,0.0229,0.413,350.36,22.257,0.00298,8903060
Wulihuxin,2022/11/12 0:00,315.00 ,4,16.7,7.731,7.96,4.273,0.0657,0.0602,0.976,401.842,34.491,0.00897,5675440
Lanshanzui,2022/11/12 0:00,315.00 ,4,17.67,8.227,9.257,3.552,0.0302,0.0597,1.065,461.296,21.54,0.04048,5688320
Tuoshan,2022/11/12 0:00,315.00 ,3,19.31,8.161,9.558,3.157,0.025,0.0459,0.52,399.703,43.004,0.0101,15190340
Xuhuxin,2022/11/12 0:00,315.00 ,2,19.99,7.699,9.203,2.525,0.025,0.0133,0.291,378.64,8.326,0.00119,7833460
Xidong,2022/11/12 0:00,315.00 ,4,21.16,8.36,8.405,1.614,0.025,0.0607,1.407,394.74,52.57,0.0135,2106420
Wuguishan,2022/11/12 4:00,315.17 ,2,18.63,8.201,9.06,2.046,0.025,0.024,0.412,350.977,21.036,0.00291,9307960
Wulihuxin,2022/11/12 4:00,315.17 ,4,16.76,7.697,7.752,4.357,0.0628,0.052,0.977,402.461,36.956,0.00853,5455440
Lanshanzui,2022/11/12 4:00,315.17 ,4,17.6,8.231,9.059,4.033,0.0358,0.0588,0.978,461.881,23.06,0.03761,7634369
Tuoshan,2022/11/12 4:00,315.17 ,3,19.18,8.135,9.383,3.444,0.025,0.05,0.526,399.049,49.942,0.01142,15240620
Xuhuxin,2022/11/12 4:00,315.17 ,2,19.91,7.584,8.876,2.161,0.025,0.0127,0.276,377.689,9.033,0.00125,8846040
Xidong,2022/11/12 4:00,315.17 ,4,20.91,8.36,8.32,1.601,0.025,0.0632,1.416,394.65,54.17,0.01222,2007910
Wuguishan,2022/11/12 8:00,315.33 ,2,18.73,8.163,8.934,2.158,0.025,0.0199,0.334,350.894,58.307,0.00267,9307620
Wulihuxin,2022/11/12 8:00,315.33 ,4,16.54,7.709,7.941,4.321,0.0698,0.0539,1.007,401.682,33.027,0.00627,4838990
Lanshanzui,2022/11/12 8:00,315.33 ,4,17.61,8.247,9.023,3.945,0.0282,0.059,1.272,461.9,30.26,0.03214,7667369
Tuoshan,2022/11/12 8:00,315.33 ,4,19.15,8.123,9.255,3.485,0.025,0.0558,0.47,399.195,56.563,0.0115,15380160
Xuhuxin,2022/11/12 8:00,315.33 ,2,19.94,7.427,8.646,2.327,0.025,0.0114,0.215,378.478,10.551,0.00128,8388990
Xidong,2022/11/12 8:00,315.33 ,4,20.89,8.28,8.099,1.7,0.025,0.0655,1.466,393.81,53.51,0.00772,1626540
Wuguishan,2022/11/12 12:00,315.50 ,2,19.53,8.244,9.106,2.192,0.025,0.0224,0.431,354.172,21.362,0.00349,14381100
Wulihuxin,2022/11/12 12:00,315.50 ,4,17.33,7.847,8.463,4.371,0.0433,0.052,0.951,401.374,29.927,0.00657,5955190
Lanshanzui,2022/11/12 12:00,315.50 ,4,18.27,8.236,9.654,3.533,0.0308,0.0572,1.079,467.418,25.37,0.0375,6442486
Tuoshan,2022/11/12 12:00,315.50 ,4,20.15,8.427,11.398,3.918,0.025,0.0606,0.589,396.065,38.191,0.01606,19714350
Xuhuxin,2022/11/12 12:00,315.50 ,2,21.19,7.572,9.071,2.309,0.025,0.0129,0.2,378.253,9.39,0.00078,7322080
Xidong,2022/11/12 12:00,315.50 ,4,21.27,8.38,8.558,1.59,0.025,0.0644,1.407,393.85,48.36,0.00896,1601570
Wuguishan,2022/11/12 16:00,315.67 ,2,20.77,8.364,9.48,1.954,0.025,0.0231,0.274,350.201,17.455,0.00353,7782210
Wulihuxin,2022/11/12 16:00,315.67 ,4,19.02,8.425,11.026,4.371,0.0409,0.0552,1.113,395.725,23.668,0.02335,10718600
Lanshanzui,2022/11/12 16:00,315.67 ,4,19.6,8.292,11.785,3.328,0.025,0.0592,0.918,456.246,35.91,0.05076,8462836
Tuoshan,2022/11/12 16:00,315.67 ,4,21.47,8.584,13.522,4.155,0.025,0.0552,0.553,396.907,31.129,0.01623,19792660
Xuhuxin,2022/11/12 16:00,315.67 ,2,21.99,7.246,7.387,2.472,0.025,0.0141,0.326,377.828,3.664,0.00052,4494920
Xidong,2022/11/12 16:00,315.67 ,4,22.31,8.65,9.456,1.608,0.025,0.0586,1.363,391.66,46.43,0.01944,2226010
Wuguishan,2022/11/12 20:00,315.83 ,2,19.63,8.266,9.21,2.097,0.025,0.0231,0.283,351.937,27.383,0.00376,12022800
Wulihuxin,2022/11/12 20:00,315.83 ,3,17.03,7.865,8.465,4.255,0.0665,0.048,0.975,397.111,26.306,0.01386,4368500
Lanshanzui,2022/11/12 20:00,315.83 ,4,18.56,8.264,9.694,3.854,0.031,0.0667,1.182,466.352,34.96,0.04197,6411955
Tuoshan,2022/11/12 20:00,315.83 ,4,19.83,8.467,11.293,4.24,0.025,0.0624,0.499,392.887,48.018,0.01886,20333770
Xuhuxin,2022/11/12 20:00,315.83 ,2,21.52,7.969,9.696,2.511,0.025,0.0131,0.164,377.42,10.462,0.00132,8613660
Xidong,2022/11/12 20:00,315.83 ,4,22.17,8.67,9.42,1.601,0.025,0.0514,1.334,391.32,42.06,0.02298,2270110
Wuguishan,2022/11/13 0:00,316.00 ,4,19.29,8.301,9.069,2.097,0.025,0.0823,1.112,348.767,138.829,0.00596,33380600
Wulihuxin,2022/11/13 0:00,316.00 ,4,16.9,7.836,8.328,4.255,0.0703,0.0512,0.973,397.845,28.637,0.01514,4481890
Lanshanzui,2022/11/13 0:00,316.00 ,4,18.27,8.237,9.353,3.854,0.025,0.082,1.305,467.876,38.55,0.03861,7545903
Tuoshan,2022/11/13 0:00,316.00 ,4,19.59,8.41,10.529,4.24,0.025,0.0792,0.832,391.291,113.59,0.02201,20224800
Xuhuxin,2022/11/13 0:00,316.00 ,2,20.61,7.784,8.926,2.511,0.025,0.0189,0.267,378.667,19.996,0.00139,12113700
Xidong,2022/11/13 0:00,316.00 ,4,21.39,8.47,8.603,1.921,0.025,0.0642,1.558,393.44,75.81,0.01392,2426290
Wuguishan,2022/11/13 4:00,316.17 ,4,18.96,8.271,8.973,3.348,0.025,0.0825,1.006,349.179,160.15,0.00606,38642900
Wulihuxin,2022/11/13 4:00,316.17 ,4,16.73,7.807,8.233,4.22,0.0707,0.0517,0.937,397.759,30.081,0.01649,4538000
Lanshanzui,2022/11/13 4:00,316.17 ,4,18.01,8.243,9.265,3.846,0.025,0.0719,1.275,474.012,34.48,0.04678,7173673
Tuoshan,2022/11/13 4:00,316.17 ,4,19.26,8.278,9.612,4.674,0.025,0.072,0.827,392.757,110.634,0.0192,20185020
Xuhuxin,2022/11/13 4:00,316.17 ,2,19.97,7.512,8.402,2.39,0.025,0.0166,0.242,379.842,12.935,0.00148,11393300
Xidong,2022/11/13 4:00,316.17 ,4,20.76,8.39,8.391,1.912,0.025,0.0649,1.522,394.69,71.95,0.01081,2095580
Wuguishan,2022/11/13 8:00,316.33 ,4,18.55,8.232,8.934,3.21,0.025,0.0853,0.979,350.799,160.883,0.00558,40381300
Wulihuxin,2022/11/13 8:00,316.33 ,4,16.52,7.765,8.093,4.384,0.0634,0.0531,0.974,397.843,32.95,0.01726,4854670
Lanshanzui,2022/11/13 8:00,316.33 ,4,17.6,8.228,9.134,4.282,0.025,0.0738,1.338,472.152,44.25,0.04159,9504501
Tuoshan,2022/11/13 8:00,316.33 ,4,18.82,8.239,9.389,4.678,0.025,0.0726,0.844,392.315,114.135,0.02129,20876460
Xuhuxin,2022/11/13 8:00,316.33 ,2,19.68,7.319,8.144,2.444,0.025,0.0145,0.249,380.604,12.574,0.00179,10662300
Xidong,2022/11/13 8:00,316.33 ,4,20.23,8.4,8.256,1.965,0.025,0.0583,1.479,393.76,66.31,0.01056,2599630
Wuguishan,2022/11/13 12:00,316.50 ,4,18.37,8.192,8.953,3.152,0.025,0.0701,1.073,353.303,141.23,0.00507,37903800
Wulihuxin,2022/11/13 12:00,316.50 ,4,16.31,7.763,8.136,4.365,0.0579,0.0524,0.903,398.205,30.909,0.01957,5334950
Lanshanzui,2022/11/13 12:00,316.50 ,4,17.42,8.239,9.22,3.819,0.025,0.0742,1.148,468.113,36.07,0.04093,6860838
Tuoshan,2022/11/13 12:00,316.50 ,4,18.54,8.29,9.908,4.458,0.025,0.0722,0.991,401.421,87.644,0.02638,21114610
Xuhuxin,2022/11/13 12:00,316.50 ,2,19.36,7.292,8.284,2.602,0.025,0.0147,0.262,381.379,10.719,0.0017,10188400
Xidong,2022/11/13 12:00,316.50 ,4,19.91,8.38,8.4,1.881,0.025,0.0583,1.484,394.16,57.78,0.01174,2742500
Wuguishan,2022/11/13 16:00,316.67 ,4,18.09,8.193,8.973,2.706,0.025,0.0594,1.009,353.826,144.851,0.005,38624800
Wulihuxin,2022/11/13 16:00,316.67 ,4,16.06,7.753,8.144,4.263,0.07,0.0546,0.91,398.444,32.97,0.0223,5394920
Lanshanzui,2022/11/13 16:00,316.67 ,4,17.06,8.214,9.385,3.501,0.025,0.0622,1.189,477.68,33.14,0.03634,6254206
Tuoshan,2022/11/13 16:00,316.67 ,4,18.31,8.295,10.02,4.528,0.025,0.0717,0.99,403.575,106.323,0.02552,20719850
Xuhuxin,2022/11/13 16:00,316.67 ,2,19.12,7.344,8.47,2.574,0.025,0.0144,0.313,380.95,10.331,0.00193,11527200
Xidong,2022/11/13 16:00,316.67 ,4,19.59,8.49,8.831,1.72,0.025,0.0515,1.409,393.37,56.4,0.01318,2962020
Wuguishan,2022/11/13 20:00,316.83 ,4,17.77,8.18,8.949,2.875,0.025,0.0651,0.981,354.506,143.793,0.00517,35578200
Wulihuxin,2022/11/13 20:00,316.83 ,3,15.83,7.773,8.223,4.261,0.0727,0.05,0.885,398.326,30.485,0.02446,5004960
Lanshanzui,2022/11/13 20:00,316.83 ,4,16.68,8.231,9.279,3.887,0.025,0.0709,1.228,474.482,40.3,0.04711,7935666
Tuoshan,2022/11/13 20:00,316.83 ,4,17.95,8.23,9.592,4.445,0.025,0.0765,0.929,403.298,91.622,0.02621,20293050
Xuhuxin,2022/11/13 20:00,316.83 ,2,18.68,7.239,8.293,2.471,0.025,0.0131,0.283,382.065,9.437,0.00165,11117100
Xidong,2022/11/13 20:00,316.83 ,4,19.16,8.51,8.868,1.766,0.025,0.0515,1.4,393.52,54.99,0.01487,3543510
Wuguishan,2022/11/14 0:00,317.00 ,4,17.52,8.15,8.919,2.875,0.025,0.0613,0.963,357.68,114.864,0.00486,31364700
Wulihuxin,2022/11/14 0:00,317.00 ,4,15.62,7.731,8.059,4.261,0.0759,0.0552,0.906,398.717,35.685,0.02287,5044630
Lanshanzui,2022/11/14 0:00,317.00 ,4,16.36,8.241,9.193,3.887,0.025,0.0676,1.328,474.483,34.76,0.04523,6835941
Tuoshan,2022/11/14 0:00,317.00 ,4,17.73,8.102,9.218,4.445,0.025,0.0704,0.819,398.874,81.253,0.01899,18566960
Xuhuxin,2022/11/14 0:00,317.00 ,2,18.42,7.165,8.008,2.471,0.025,0.0142,0.313,382.215,8.201,0.00123,10034700
Xidong,2022/11/14 0:00,317.00 ,3,18.79,8.58,8.948,1.832,0.025,0.0479,1.372,393.13,54.53,0.04587,5216140
Wuguishan,2022/11/14 4:00,317.17 ,4,17.3,8.151,8.911,2.652,0.025,0.0596,1.012,364.559,126.175,0.00537,35686600
Wulihuxin,2022/11/14 4:00,317.17 ,4,15.31,7.742,8.111,4.332,0.0753,0.0549,0.915,398.569,36.455,0.02049,4760760
Lanshanzui,2022/11/14 4:00,317.17 ,4,16.1,8.237,9.085,3.643,0.0367,0.0713,1.372,474.7,32.3,0.04142,8102710
Tuoshan,2022/11/14 4:00,317.17 ,4,17.23,8.131,9.142,4.095,0.025,0.0798,1.171,418.624,104.129,0.0275,21090870
Xuhuxin,2022/11/14 4:00,317.17 ,2,17.89,7.043,7.867,2.391,0.025,0.0132,0.288,383.467,9.044,0.00148,11075400
Xidong,2022/11/14 4:00,317.17 ,3,18.35,8.55,8.814,1.935,0.025,0.0452,1.379,393,55.25,0.02114,3735340
Wuguishan,2022/11/14 8:00,317.33 ,4,16.9,8.133,8.909,2.729,0.025,0.0534,1.047,360.816,118.078,0.00527,31920500
Wulihuxin,2022/11/14 8:00,317.33 ,4,15.02,7.689,7.928,4.438,0.0888,0.0573,0.92,399.143,31.91,0.01848,4926200
Lanshanzui,2022/11/14 8:00,317.33 ,4,15.87,8.252,8.966,3.706,0.0509,0.0662,1.378,474.453,28.48,0.03982,6037126
Tuoshan,2022/11/14 8:00,317.33 ,4,17.08,8.078,8.96,3.835,0.025,0.0653,0.818,400.938,65.353,0.02191,20502560
Xuhuxin,2022/11/14 8:00,317.33 ,2,17.61,6.993,7.807,2.504,0.025,0.0126,0.265,384.503,8.505,0.00132,9462190
Xidong,2022/11/14 8:00,317.33 ,3,18.11,8.51,8.488,1.854,0.0308,0.047,1.367,393.99,60.08,0.02194,3185000
Wuguishan,2022/11/14 12:00,317.50 ,3,16.88,8.147,8.942,2.315,0.025,0.0462,0.994,362.665,90.776,0.00551,28511600
Wulihuxin,2022/11/14 12:00,317.50 ,4,14.87,7.723,8.151,4.317,0.0765,0.0551,0.897,398.912,32.7,0.02774,5834140
Lanshanzui,2022/11/14 12:00,317.50 ,4,15.79,8.243,9.387,4.18,0.0307,0.0515,1.411,468.353,21.41,0.03358,10308230
Tuoshan,2022/11/14 12:00,317.50 ,4,16.91,8.21,9.968,4.018,0.025,0.0679,1.136,417.388,61.636,0.02565,20945140
Xuhuxin,2022/11/14 12:00,317.50 ,2,17.58,6.893,7.417,2.371,0.025,0.0131,0.261,385.358,4.875,0.00074,7916570
Xidong,2022/11/14 12:00,317.50 ,3,18.1,8.62,8.948,1.495,0.025,0.0418,1.287,392.35,50.85,0.02149,4225840
